Series,Domain,Culture,Experiment,Age,Run,Alpha 1,Metric 1,Alpha 2,Metric 2
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,06,6,0.92,0.2372057959108819,1.0,1.7454807923083304
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,06,7,0.9,0.2451483575590864,1.08,1.746311640575723
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,06,8,0.9,0.2616347390328783,1.04,1.7468766253775183
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,06,9,0.9,0.2439313231283487,1.02,1.7470545806026845
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,06,10,0.9,0.2478259956972601,1.02,1.7469500381765148
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,06,11,1.15,0.2050212447433467,1.04,1.7451460763606268
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,06,12,0.85,0.265828399064869,1.02,1.7465735238405062
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,06,13,0.92,0.2481783610907478,1.04,1.7467995223183792
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,06,14,0.92,0.2045908505152641,1.02,1.7470520874984636
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,07,0,0.92,0.2743176790798088,1.04,1.742944126024995
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,07,1,0.98,0.2030081391872895,1.04,1.74075164356173
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,07,2,0.92,0.2676060957189764,1.04,1.7461424660520688
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,07,3,0.92,0.2712833843293254,1.08,1.7403938114892796
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,07,4,0.92,0.248383145826362,1.1,1.7462227513635191
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,07,5,0.92,0.2495958103308959,1.08,1.746462276898524
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,07,6,0.94,0.2466880816542919,1.1,1.7463721641288572
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,07,7,0.96,0.2126515704230462,1.06,1.7455724517797606
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,07,8,0.94,0.2478365133700387,1.15,1.7457291394736645
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,07,9,0.92,0.2588528966492067,1.08,1.7446590508048867
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,07,10,0.9,0.248827838799467,1.06,1.7469925495152594
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,07,11,0.9,0.2494184177868326,1.04,1.7472580223925906
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,07,12,0.94,0.2470056884288614,1.15,1.7458234338355925
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,07,13,0.9,0.2501662746439381,1.04,1.7471783121500248
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,07,14,0.92,0.2446876291313379,1.08,1.7466661762305844
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,08,0,0.85,0.2487445431079727,1.0,1.7461261106028474
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,08,1,0.85,0.2515014867684449,0.94,1.7468869474360391
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,08,2,0.8,0.2458811090918426,0.94,1.7466703545674591
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,08,3,0.85,0.1753345410873271,1.0,1.745509642969952
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,08,4,0.85,0.2543057153530902,0.94,1.7445517905305683
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,08,5,0.85,0.2278892034963945,0.98,1.746399598471395
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,08,6,0.85,0.2436213499756785,1.02,1.746185428345295
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,08,7,0.8,0.2482710260815631,1.02,1.7460466695296395
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,08,8,0.8,0.2477429410427384,0.94,1.7469134550800225
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,08,9,0.8,0.2451482620381314,1.0,1.746654178465067
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,08,10,0.8,0.24814227823356,0.94,1.7472231434055776
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,08,11,0.8,0.2427511963584518,0.94,1.746879863544276
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,08,12,0.85,0.2453782778975509,0.94,1.7472978406334274
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,08,13,0.85,0.1849097772593281,0.98,1.7464997451960116
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,08,14,0.85,0.1855757139140765,0.98,1.744167298096785
exp_series_1_celegans_syn_count,celegans,syn_count,PerceptualDecisionMaking,01,0,0.8,0.0,0.8,0.0
exp_series_1_celegans_syn_count,celegans,syn_count,PerceptualDecisionMaking,01,1,0.8,0.0,0.8,0.0
exp_series_1_celegans_syn_count,celegans,syn_count,PerceptualDecisionMaking,01,2,0.8,0.0,0.8,0.0
exp_series_1_celegans_syn_count,celegans,syn_count,PerceptualDecisionMaking,01,3,0.8,-7.730364873217986e-05,0.8,0.0
exp_series_1_celegans_syn_count,celegans,syn_count,PerceptualDecisionMaking,01,4,0.8,0.0,0.8,0.0
exp_series_1_celegans_syn_count,celegans,syn_count,PerceptualDecisionMaking,01,5,0.8,0.0,0.8,0.0
exp_series_1_celegans_syn_count,celegans,syn_count,PerceptualDecisionMaking,01,6,0.8,0.0,0.8,0.0
exp_series_1_celegans_syn_count,celegans,syn_count,PerceptualDecisionMaking,01,7,0.8,0.0,0.8,0.0
exp_series_1_celegans_syn_count,celegans,syn_count,PerceptualDecisionMaking,01,8,0.8,0.0,0.8,0.0
exp_series_1_celegans_syn_count,celegans,syn_count,PerceptualDecisionMaking,01,9,0.8,0.0,0.8,0.0
exp_series_1_celegans_syn_count,celegans,syn_count,PerceptualDecisionMaking,01,10,0.8,0.0,0.8,0.0
exp_series_1_celegans_syn_count,celegans,syn_count,PerceptualDecisionMaking,01,11,0.8,0.0,0.8,0.0
exp_series_1_celegans_syn_count,celegans,syn_count,PerceptualDecisionMaking,01,12,0.8,0.0,0.8,0.0
exp_series_1_celegans_syn_count,celegans,syn_count,PerceptualDecisionMaking,01,13,0.8,0.0,0.8,0.0
exp_series_1_celegans_syn_count,celegans,syn_count,PerceptualDecisionMaking,01,14,0.8,0.0,0.8,0.0
exp_series_1_celegans_syn_count,celegans,syn_count,PerceptualDecisionMaking,02,0,0.8,0.0,0.8,0.0
